rn	auc	thresh	direction	Group	alpha
ACTA2	54.7438680269155	-0.80533402283631	greater	10	0
MYLK	72.8489255480792	0.075355320776331	greater	10	0
S100B	60.2110918168005	-1.23971078770958	less	10	0
CRYAB	73.2423485999566	-1.60858011717183	less	10	0
CCL5	64.604406338181	-0.96643620698483	less	10	0
ACTG2	63.1614933796394	0.0662175870120212	greater	10	0
TAGLN	65.7141306707184	-0.288315345833036	greater	10	0
A2M	63.3432819622314	-1.34078454607622	less	10	0
IFIT2	70.515519861081	-0.621685504484097	less	10	0
IFIT3	62.7919470371174	-1.07317824297561	less	10	0
PRND	68.6287171695246	-0.675749499409727	less	10	0
TFPI2	51.1612763186455	-1.70739418758683	greater	10	0
MMP1	72.9715650097677	-0.831132253562259	less	10	0
OASL	67.8635771651834	-0.409622658528876	less	10	0
IGFBP6	55.6224224006946	-0.616651719824784	greater	10	0
SERPINE1	59.2212936835253	-1.00515198178611	greater	10	0
IFIT1	63.8729107879314	-0.835488734192923	less	10	0
PMEL	73.5011938354678	-4.12547733579347	less	10	0
CPA4	50.2479921858042	-1.18541997275243	greater	10	0
SCRG1	75.3820273496853	-0.487148843554826	less	10	0
HMOX1	56.6816800520947	-0.95164669826612	less	10	0
ISG15	54.8697634035164	-1.16812186111891	less	10	0
VGF	51.9199044931626	-1.37948752962708	less	10	0
RSAD2	75.4818754069894	-0.30098877311875	less	10	0
PMAIP1	60.5166051660516	-0.321544318517028	greater	10	0
SRGN	53.3204905578468	-1.34067984192968	less	10	0
IGFBP2	54.4057955285435	-1.26837704604059	less	10	0
CCL18	77.8011721293684	-0.413257892840682	less	10	0
UBE2C	85.2317126112441	0.0707645207554546	greater	10	0
SOST	73.7231387019753	-0.0898616882063997	less	10	0
IGFBP5	58.6829824180595	-0.979208327222164	less	10	0
PTX3	63.4523551117864	-1.08774175020953	less	10	0
CITED1	73.9407423486	-2.8423843208651	less	10	0
DKK1	66.2909702626434	0.858360227646443	greater	10	0
IFI27	73.07629693944	-1.01985169951846	less	10	0
TDO2	61.6420664206642	-0.826153800772529	less	10	0
CCL2	69.1784241371826	-1.23711499747864	less	10	0
CTSK	82.8684610375516	-2.03863364218371	less	10	0
COL1A1	53.3904927284567	0.274714300371902	less	10	0
IGFBP3	54.7194486650749	-0.995608819775552	less	10	0
IL11	54.8605383112657	0.119241095804607	greater	10	0
VCAM1	72.7132624267419	-0.60057151946815	less	10	0
MGP	76.9334708052963	-0.148586135911888	less	10	0
KRT34	52.8353592359454	0.0763999854117673	greater	10	0
APOE	77.9927284566963	-1.76016152403665	less	10	0
CENPF	88.3080095506838	1.85265652076684	greater	10	0
ASPM	79.5382027349681	0.209440759049696	greater	10	0
LUM	69.2706750596918	-0.760119054450971	less	10	0
IGFN1	56.1927501627958	-0.848451367325635	less	10	0
SCG5	59.9598437160842	-1.00463932226748	less	10	0
IGFBP7	58.9819839374865	2.51955476081628	greater	10	0
TIMP3	69.7427827219447	-0.137523319127413	greater	10	0
FN1	62.4603863685695	0.0768287039124882	greater	10	0
NEAT1	83.5196440199696	-2.48010430374113	less	10	0
KRT18	55.8986325157371	-0.424393503453001	greater	10	0
ANKRD1	67.0512263946169	-0.514397970606513	less	10	0
SCG2	78.928261341437	-1.52903955172925	less	10	0
PLN	68.8577165183417	-0.825702838367651	less	10	0
TMEM158	68.5956153679182	-0.454436520379087	greater	10	0
TM4SF1	67.1673540264811	-0.260041592828614	greater	10	0
PSG1	74.4150206207945	-0.267716573637757	less	10	0
SFRP4	80.6555242023008	-0.501921141959594	less	10	0
MKI67	91.3658563056217	1.70764766960684	greater	10	0
TOP2A	82.377903190796	0.0307175407041174	greater	10	0
MT2A	82.7143477317129	0.415232475022435	greater	10	0
INHBA	52.1950293032342	-1.0520683902714	less	10	0
PRNP	57.6427176036471	-0.585155682108686	greater	10	0
MLANA	74.5864988061645	-2.80996637050452	less	10	0
MYOCD	61.241588886477	1.96031299147003	greater	10	0
CTGF	63.8072498372043	-1.99157313626389	less	10	0
SEPP1	77.4224006945952	-0.355603293795056	less	10	0
HERC5	65.2224875189928	-0.520046590775201	less	10	0
EREG	56.4988061645323	-0.840861205493127	less	10	0
CCL26	65.5833514217495	-0.349297673380472	less	10	0
CXCL12	70.0982200998485	1.7387353290126	greater	10	0
C12orf75	81.5736922075098	1.82124221527469	greater	10	0
KCNMA1	64.3341654004773	0.645021970118321	greater	10	0
KIAA1199	51.9616887345341	-0.6162361323309	greater	10	0
SERPINE2	66.1547644888213	-1.44745188393641	less	10	0
CCNB1	82.8364445409144	0.3026244373574	greater	10	0
SFRP1	54.5854135011939	0.238527291875758	greater	10	0
GADD45A	54.8545691339267	-0.346414820813381	greater	10	0
PHACTR1	80.6669199044932	-2.07932115746352	less	10	0
KRTAP1-5	59.4068808335142	-0.615855412482052	less	10	0
CD36	73.4648361189494	-0.68654728627968	less	10	0
SOD2	61.1596483611895	-0.971308741409766	less	10	0
CALD1	64.7406121120035	-0.660661999074924	less	10	0
UBE2S	93.5994139353156	1.61692525768288	greater	10	0
PTTG1	84.1697416974161	0.189973597124464	greater	10	0
HIST1H1C	53.4121988278703	-0.170835632972951	greater	10	0
FBXO32	80.0385283264597	-1.27672075067405	less	10	0
PLIN2	56.0755372259605	-0.343790245444488	less	10	0
GLRX	58.6368569568049	-0.880550488413711	less	10	0
AURKA	84.642392012156	0.4151660898671	greater	10	0
THBS1	66.930757542869	0.531124566660071	greater	10	0
COL6A1	55.9756891686564	0.161732483009885	less	10	0
BIRC5	90.3006294768823	1.27871934091862	greater	10	0
ITGA5	73.5337529845882	0.325105311008938	greater	10	0
ID1	63.2125027132624	-0.377621816107095	greater	10	0
SPP1	70.3000868243977	-0.849819284469918	less	10	0
CXCL1	62.0501410896462	-0.650944852678967	less	10	0
IER3	52.1988278706316	0.186846244418126	less	10	0
BIRC3	51.3267853266768	-0.478515990487315	less	10	0
PLP1	69.0601258953766	-1.40759873780406	less	10	0
RRM2	83.021489038421	-0.176409358697914	greater	10	0
FGF7	68.6531365313653	-1.07804078119914	less	10	0
COL3A1	72.933036683308	-0.433879427405804	less	10	0
CCND1	78.1538962448455	0.647491785565948	greater	10	0
EDN1	58.736705014109	-0.369885491057873	less	10	0
ADAMTS6	57.4278272194487	0.781646916629981	greater	10	0
CTHRC1	60.2490774907749	-0.02245914128467	less	10	0
KRTAP2-3	57.9069893640113	-0.39362710948503	less	10	0
TPX2	89.7948773605386	1.13286935411021	greater	10	0
HIST1H4C	70.7727371391361	0.0480289289279386	greater	10	0
ADM	52.0316909051444	-0.336472933713973	less	10	0
FST	67.1695246364226	-0.271559418019217	greater	10	0
BGN	54.0720642500543	0.172960436828131	greater	10	0
RGS2	74.8583677013241	-0.996983584092737	less	10	0
BMP2	60.0678315606686	-0.340025476626534	less	10	0
NRG1	64.994030822661	-0.229607693552649	greater	10	0
CD9	70.9876275233341	-0.718461216427037	less	10	0
NNMT	74.3330800955069	-0.934146018444773	less	10	0
CTSD	66.6366398958107	-0.915368970693536	less	10	0
MIR143HG	65.7352941176471	-0.365448883536055	less	10	0
COL1A2	63.8783373127849	-0.337624642784134	less	10	0
AP1S2	76.9790536140656	-1.94706023106569	less	10	0
G0S2	74.012372476666	-0.248751840473158	less	10	0
ID2	56.9752550466678	-0.884975459398891	greater	10	0
LMOD1	61.1108096375082	-0.359258913805635	less	10	0
HSPA5	67.1423920121552	-0.132157769326197	greater	10	0
LXN	68.8848491426091	-0.824526971511653	less	10	0
ID4	72.3920121554157	-1.74771570402863	less	10	0
HAS2	64.6060342956371	-0.478479821967542	less	10	0
FHL2	59.355328847406	-0.140635604247999	greater	10	0
APCDD1	65.2854352072932	-0.753256714601838	less	10	0
CENPA	80.5649012372477	0.36490983838274	greater	10	0
TMSB4X	62.9444323855003	-0.438830586003724	less	10	0
IFIH1	67.7246581289342	-0.428465935163624	less	10	0
COLEC10	54.9462774039505	-0.141023699861156	less	10	0
PRSS23	51.0397221619275	-0.292285889210541	less	10	0
HMMR	83.9222921640971	0.780965530023769	greater	10	0
RND3	58.3796396787498	-0.371903369146547	less	10	0
TFAP2A	66.4244627740395	-1.72893274060625	less	10	0
WISP2	73.7936835250706	-0.857417834696047	less	10	0
SPARC	71.1656175385283	-1.02204258328269	less	10	0
FTL	76.2187974820925	-1.2100208425907	less	10	0
AQP1	66.4239201215542	-0.373409501937191	less	10	0
SPOCK1	50.5144345561104	-0.146917378134559	greater	10	0
KPNA2	84.8648795311487	0.606681668742419	greater	10	0
CDC20	81.3501193835453	0.230977566698257	greater	10	0
CSRP2	59.8491426090733	-0.0162815793091265	greater	10	0
KIAA0101	76.0505752116341	-0.331675048453844	greater	10	0
F3	70.4341219882787	-0.402708908000327	less	10	0
CLEC2B	50.977859778598	-0.282602146970446	greater	10	0
TSLP	54.3189711308878	-0.71746581130344	less	10	0
COL15A1	62.3041024527892	-0.989886907022404	less	10	0
GPM6B	78.8143043195138	-1.90887044225349	less	10	0
PDLIM1	52.1912307358368	-0.249268466787666	less	10	0
CAV1	54.6038636856956	0.983615403883268	greater	10	0
SLC7A11	59.8561970913827	-0.812139363338102	less	10	0
C11orf96	77.043629259822	-0.440783685178336	less	10	0
EFEMP1	74.5696765791187	-0.133670343184119	less	10	0
FOSL1	86.6225309311911	1.43812804876284	greater	10	0
GTSE1	84.0807466898198	1.30923510549048	greater	10	0
MAP1B	68.5988712828299	0.652352919959766	greater	10	0
CDKN3	81.3783373127855	-0.0928508938383415	greater	10	0
PEG10	67.2433253744302	-0.979732125673175	less	10	0
ANXA1	60.1269806815719	-0.00735630805542215	greater	10	0
CYTL1	67.7968309094856	-0.825286777653291	less	10	0
HPGD	77.6405469937052	-0.445375931475687	less	10	0
STMN1	91.9530062947688	1.41007846189686	greater	10	0
SYNPO2	66.1411981766876	-0.447429544220214	less	10	0
CENPE	75.4731929672234	1.03718107670937	greater	10	0
CDK1	74.4937052311697	0.367209608248379	greater	10	0
IL6ST	59.5870414586499	0.112218011688709	less	10	0
AKAP3	78.1213370957239	-0.219459843871331	less	10	0
HLA-B	54.6581289342304	-0.186129187745102	greater	10	0
